ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
0000d1a50f0c9ae122d1b45df38c4638,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),unidentified_marine
0000f9a9a96f81bcfc9ab4393bf33e0e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Stappiaceae,uncultured_bacterium
000efe0efedc425b16dce65398b6087f,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,
0010115000e57870415cbc499f128214,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),
0013d337394876e5a135d38efccf9053,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,
001d9453419a2a3eb91b2a4a90973b1a,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade,SAR202_clade,marine_metagenome
002085ea8c3c04471dd214414320a048,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,
0020b18ea22f14705e4762b3ae7262c4,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,
003228a4b6d654ca2a6100249e8b1a25,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,S25-593,marine_metagenome
0032f9498596693d022238b1a2c99704,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,
003e0d59c0d17208892f43f082dc6500,Bacteria,Proteobacteria,Alphaproteobacteria,AT-s3-44,AT-s3-44,AT-s3-44,uncultured_organism
0049dac3629fb24ba5add172dec9b2f7,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,,
004e45ef539b37056380b39e69c02f8a,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,uncultured,uncultured_bacterium
005304b72bfac5d1b0103c905723749d,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,,
0069f19452eb71dd13f0b5fbbb7c6151,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,
006b922029778aad6b92f6d17e0ae056,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,
0071252a42cd76519a058f50e3f0e4af,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,
00723993f40a66255ebcfa9aafa9d19c,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Luminiphilus,
0074238c998c7fb81601ba6ca910cee2,Bacteria,Planctomycetota,OM190,OM190,OM190,OM190,uncultured_planctomycete
007b60bbc701385024c95b060070cdce,Bacteria,Planctomycetota,Pla4_lineage,Pla4_lineage,Pla4_lineage,Pla4_lineage,uncultured_bacterium
007ed0c7c3565e1412b9bc13c15b4495,Bacteria,PAUC34f,PAUC34f,PAUC34f,PAUC34f,PAUC34f,marine_metagenome
009b50de0df7aab12637abe6ebca94f4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,
