sample_name	project_name	vessel	ESP_sample_match	year	season	collection_date	sampling_platform	sampling_device	filtration_device	control_status	station	bottom_depth_m	bottom_depth_group_m	CTD_cast	depth_m	temp_C	salinity_PSU	O2_mL_L	O2_group	density_kG_m3	chlA_ug_L	fluor_volt	latitude	lat_group	longitude	PO4	SiO4	NO3	NO2	NH4	volume_filtered_ml	filter_type	filter_pore_size_um	target_subfragment	F_primer	R_primer	primers_FR	seq_platform	seq_model	seq_chemistry	run_center	run_date	Description
CN18Fc12_8_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC58	2018	Fall	20180907	Flyer	CTD	peristaltic	Exp	TS	230	100-300	12	30	13.0777	33.6197	4.21222	4-4.9	25.3091	0.5466	0.0418	36.9848	36.5-37	-122.519	1.25	12.23	14.92	0.31	0.002	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc19_5_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC57	2018	Fall	20180908	Flyer	CTD	peristaltic	Exp	ESP	135	100-300	19	40	12.254	33.6436	4.21523	4-4.9	25.4884	0.5777	0.0431	36.9937	36.5-37	-122.468	1.38	12.28	15.24	0.27	0.023	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc21_6_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC56	2018	Fall	20180908	Flyer	CTD	peristaltic	Exp	ESP	135	100-300	21	25	11.9639	33.6603	3.70764	3-3.9	25.5561	0.5054	0.0402	36.9898	36.5-37	-122.4682	1.49	10.8	11.98	0.24	0.017	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc22_6_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC55	2018	Fall	20180908	Flyer	CTD	peristaltic	Exp	ESP	130	100-300	22	35	12.0074	33.653	3.83292	3-3.9	25.5425	0.5684	0.0427	37.006	37-37.5	-122.467	0.88	13.24	14.32	0.07	0.022	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc24_6_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC53	2018	Fall	20180908	Flyer	CTD	peristaltic	Exp	ESP	122	100-300	24	25	12.001	33.6574	3.7499	3-3.9	25.5468	0.5379	0.0415	37.0077	37-37.5	-122.4493	1.42	14.04	14.86	0.29	0.052	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc25_5_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC52	2018	Fall	20180908	Flyer	CTD	peristaltic	Exp	ESP	122	100-300	25	30	11.5667	33.6788	3.61299	3-3.9	25.6445	0.4625	0.0385	37.0127	37-37.5	-122.4413	1.48	14.12	19.08	0.38	0.003	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc27_4_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC49	2018	Fall	20180909	Flyer	CTD	peristaltic	Exp	ESP	150	100-300	27	45	12.0194	33.6541	3.82541	3-3.9	25.5412	0.5684	0.0427	37.0052	37-37.5	-122.4185	1.35	11.98	15.63	0.23	0.024	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc29_6_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC47	2018	Fall	20180909	Flyer	CTD	peristaltic	Exp	ESP	320	300-500	29	30	11.9849	33.6557	3.82099	3-3.9	25.5486	0.5535	0.0421	36.9977	36.5-37	-122.4128	1.08	12.61	15.31	0.24	0.035	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc30_4_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC46	2018	Fall	20180909	Flyer	CTD	peristaltic	Exp	ESP	220	100-300	30	40	11.7004	33.6699	3.65703	3-3.9	25.6131	0.4768	0.0391	36.9977	36.5-37	-122.4165	1.53	14.95	17.46	0.27	0.001	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc32_4_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC44	2018	Fall	20180909	Flyer	CTD	peristaltic	Exp	ESP	185	100-300	32	40	11.3054	33.6943	3.38028	3-3.9	25.7046	0.4463	0.0379	36.9973	36.5-37	-122.4083	1.58	16.92	19.22	0.24	0.001	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
