Family,Lasker18Sc122_3_D0052,Lasker18Sc122_5_D0053,Lasker18Sc122_17_D0057,Lasker18Sc122_19_D0058,Lasker18Sc123_3_D0063,Lasker18Sc123_5_D0064,Lasker18Sc123_17_D0068,Lasker18Sc123_19_D0069,Lasker18Sc124_3_D0073,Lasker18Sc124_5_D0074,Lasker18Sc124_17_D0078,Lasker18Sc124_19_D0079,Lasker18Sc126_3_D0085,Lasker18Sc126_5_D0086,Lasker18Sc126_17_D0090,Lasker18Sc127_3_D0095,Lasker18Sc127_5_D0096,Lasker18Sc127_17_D0100,Lasker18Sc127_19_D0101,Lasker18Sc128_3_D0105,Lasker18Sc128_7_D0107,Lasker18Sc128_16_D0110,Lasker18Sc128_19_D0111,Lasker18Sc129_3_D0116,Lasker18Sc129_5_D0117,Lasker18Sc129_17_D0121,Lasker18Sc129_19_D0122,Lasker18Sc130_3_D0127,Lasker18Sc130_5_D0128,Lasker18Sc130_17_D0132,Lasker18Sc130_19_D0133,Lasker18Sc132_3_D0137,Lasker18Sc132_5_D0138,Lasker18Sc132_17_D0142,Lasker18Sc132_19_D0143,Lasker18Sc133_3_D0147,Lasker18Sc133_5_D0148,Lasker18Sc133_17_D0152,Lasker18Sc133_19_D0153,Lasker18Sc134_3_D0158,Lasker18Sc134_5_D0159,Lasker18Sc134_17_D0163,Lasker18Sc134_19_D0164,Lasker18Sc135_17_D0173,Lasker18Sc135_19_D0174,Lasker18Sc145_3_D0219,Lasker18Sc145_5_D0220,Lasker18Sc145_17_D0224,Lasker18Sc145_19_D0225,Lasker18Sc150_3_D0229,Lasker18Sc150_5_D0230,Lasker18Sc150_17_D0234,Lasker18Sc150_19_D0235,Lasker18Sc151_3_D0240,Lasker18Sc151_5_D0241,Lasker18Sc151_17_D0245,Lasker18Sc151_19_D0246,Lasker18Sc153_3_D0250,Lasker18Sc153_5_D0251,Lasker18Sc153_17_D0255,Lasker18Sc153_19_D0256,Lasker18Sc154_3_D0260,Lasker18Sc154_5_D0261,Lasker18Sc154_17_D0265,Lasker18Sc154_19_D0266,Lasker18Sc158_3_D0270,Lasker18Sc158_5_D0271,Lasker18Sc158_17_D0275,Lasker18Sc158_19_D0276
Amphipleuraceae,0.0,0.0,0.0,0.0,0.0,0.0,1.4911352012286954e-05,5.7632458600683904e-05,2.0837674515524066e-05,0.00011871373666325365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013916270439522208,0.0,2.0171050508310473e-05,0.00017407955435634086,4.1558441558441555e-05,0.0,0.000249793440039967,0.00027764923646459973,0.00016571381224625073,0.0,0.0,0.000658513640639699,0.0006900887914244966,4.605747973470892e-05,0.0,0.0012077866717188463,0.001382306477093207,0.0002836586812450037,0.0,0.0003857012820710616,0.0003132254854995025,0.00014499320344358858,7.689498068013611e-05,0.0008456313592842139,0.000794195155409552,0.0013835322926232017,0.0010871073692001664,0.0,2.3529411764705884e-05,0.0005532897024882229,0.0007171649726735416,2.4984384759525296e-05,6.539081912899428e-05,0.0012368931492986253,0.0011980206615157566,0.0,0.0,0.012321757778697469,0.00746504397559313,2.4216006780481897e-05,0.0,0.0010579923250726249,0.0012267561983471075,0.0,0.0,0.0015948275862068967,0.0025321475967478684,0.0,0.0002370698170611245,0.001044243806830961,0.0008390701577070501
Amphiuridae,0.0,0.0,0.0,0.0,0.0,2.9208166603382307e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010995958985072986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.842976000614876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4901130995842585e-05,0.0,0.0041640564542875045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242160067804819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002646431368313035,0.0,0.0,0.0
Anisolpidiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.789170550566481e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012893576420227443,0.001072881431700666,6.171220513136985e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001080176068699198,0.0,0.0,0.0
Annulariidae,0.00011742946892522679,0.00020081872248397313,2.6205794101075746e-05,4.347448047995827e-05,0.00025219267520385576,0.0002482694161287496,0.0,0.0,0.0,0.0,0.0,0.0,0.0005703914959813327,0.00033928975344944584,0.0,0.00035736866701487204,0.0007578341101132962,0.0,0.0,0.0,0.0,0.0,0.0,3.2721442361179283e-05,0.00034586784005533885,0.0,0.0,2.1407775303990408e-05,6.775297266167552e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003868072926068233,0.0,0.0,0.0,0.00018124150430448574,1.9223745170034027e-05,0.0,0.0,0.0,0.0,0.000588770540063159,0.00011764705882352942,0.0,0.0,0.00019987507807620237,0.0014603949605475391,0.0,0.0,0.0002876431870865129,0.0,0.0,0.0,0.00041167211526819226,0.0007671653241273494,0.0,0.0,0.0,0.0002628811777076761,0.0,0.0,0.0008911452566768383,0.0007902327235370817,6.426115734344376e-05,0.0
Apoikiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8447490340068055e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apolemiidae,0.0,0.0002626090986328879,7.861738230322724e-05,0.0,0.0,2.9208166603382307e-05,5.964540804914782e-05,0.0,0.0,0.0,0.0,0.0,0.031449312937516204,0.000920929330791353,0.0,0.0006322676416416966,0.00065678956209819,0.0,0.0,0.0002121790791427965,0.2403784089075359,0.0,4.1558441558441555e-05,0.0,0.00021136368003381819,2.6442784425199975e-05,0.0,4.2815550607980816e-05,3.387648633083776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043497961033076574,9.611872585017013e-05,0.0,0.0,2.4487297214569943e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006321112515802782,1.4055603969302561e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7932073306315676e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apusomonadidae,0.0,0.0,0.0,0.0,0.0,1.4604083301691153e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.693824316541888e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.157430568090977e-05,0.00023841809593348135,0.0,0.0,7.249660172179429e-05,0.00013456621619023818,0.0,0.0,0.0,0.0,0.0008831558100947385,0.00018823529411764707,0.0,0.0,0.00039975015615240474,0.0003487510353546362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.101320515243984e-05,7.902327235370817e-05,0.0,0.0
Arcidae,0.00023485893785045358,0.000308951880744574,0.0,0.0,8.406422506795192e-05,0.00013143674971522037,0.0,0.0,0.0,5.935686833162682e-05,0.0,0.0,0.00023334197562872698,4.8469964778492264e-05,0.0,0.00021991917970145972,0.00010104454801510616,0.0,0.0,0.0,2.0171050508310473e-05,0.0,0.0,3.2721442361179283e-05,5.764464000922314e-05,0.0,0.0,8.563110121596163e-05,6.775297266167552e-05,0.0,0.0,4.605747973470892e-05,0.00015092061575611228,0.0,0.0,0.0001805100698831842,5.960452398337034e-05,0.0,0.0,1.8124150430448573e-05,0.0,0.0,0.0,0.0,0.0,2.676229727559814e-05,4.705882352941177e-05,0.0,0.0,4.996876951905059e-05,0.00010898469854832381,7.02780198465128e-05,0.0,0.00013536149980541783,0.00014119640419823975,0.0001128710636216562,0.0,7.264802034144569e-05,0.00010959504630390706,0.0,0.0,0.00036487472634395525,9.858044164037855e-05,0.0,0.0,0.0002700440171747995,0.0,0.0,0.0
Arthoniaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019369834710743802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arulidae,0.0,0.0,0.0,4.347448047995827e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.370011423517707e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.993753903810119e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ascidiidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029288034506629745,0.00018748242352279473,0.0,0.0,0.0002745744096650192,0.0,0.0,2.5593448077292213e-05,4.6387568131740696e-05,0.00014145271942853102,0.0,0.006963182174253634,0.00664935064935065,3.2721442361179283e-05,0.0,0.0014411317511733987,0.0007042837020465656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6248300860897145e-05,0.00013456621619023818,2.7278430944652063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1796939709664764e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.606528933586094e-05,0.0
Aspergillaceae,0.0005871473446261339,0.00024716150459565923,0.0,2.8982986986638843e-05,0.0006164709838316474,0.0,0.00019384757615973042,0.0,0.0009793707022296312,0.0,0.0,6.249414117426491e-05,0.0,0.0,0.00041186161449752884,0.0006047777441790142,0.0,0.0005502591336617826,2.3193784065870348e-05,0.0,0.0,0.0,0.00045714285714285713,0.00013088576944471713,0.0,0.00023798505982679976,0.0,0.0,0.0,0.0,0.00010734714533269948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016311735387403715,0.0,0.0,0.0,0.00040404040404040404,0.0,0.0,0.0005647058823529411,0.0,0.0,0.0,0.0,0.0,1.7362618282837052e-05,0.0,0.0,0.00404454644644268,0.0,0.0001695120474633733,0.0,0.00012552451314420973,0.0,0.0,0.0,0.0003017241379310345,0.0,0.0,3.9511636176854084e-05,0.0,0.00041953507885352507
Asplanchnidae,0.00035228840677568033,0.000154475940372287,0.0,0.0,0.0003082354919158237,2.9208166603382307e-05,0.0,0.0,0.0031673265263596584,0.0,0.0,0.0,0.000311122634171636,4.8469964778492264e-05,0.0,0.0006047777441790142,0.00015156682202265923,0.0,0.0,0.0002121790791427965,0.0,0.0,0.0,3.2721442361179283e-05,3.842976000614876e-05,0.0,0.0,0.0025261174858708683,0.0,0.0,0.0,0.0008520633750921149,5.0306871918704096e-05,0.0,0.0,0.00041259444544727814,0.0,0.0,0.0,9.062075215224287e-05,0.0,0.0,0.0,0.0,0.0,0.00013381148637799068,4.705882352941177e-05,0.0,0.0,0.0005746408494690818,0.0,0.0,0.0,0.002419586809021844,0.0004000564785616793,5.64355318108281e-05,0.0,0.003632401017072285,0.0,0.0,0.0,0.00036487472634395525,0.0,0.0,0.0,0.0002160352137398396,0.0,0.0,0.0
Asteriidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013744948731341232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axinellidae,0.0,0.0,2.6205794101075746e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4216006780481897e-05,2.7398761575976766e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacillariaceae,0.002201802542348002,0.004711516181354754,0.026834733159501564,0.023852998290003768,0.0014010704177991986,0.0009054531647048515,0.0018937417055604432,0.00220924424635955,0.0002708897687018129,0.000252266690409414,0.0014910272112466053,0.0009999062587882385,0.007337308789214415,0.004830839822923062,0.061834157056562325,0.007174863237760123,0.00766675508064618,0.12745537142491523,0.16711121419459585,0.0020510644317136995,0.0012707761820235598,0.07361824353729654,0.07137662337662337,0.00405745885278623,0.0037661164806025785,0.04946122826733655,0.06210125113928246,0.00571587600616544,0.010975981571191435,0.0669645656945751,0.0810164241132359,0.004651805453205601,0.0038736291377402155,0.022095391464974187,0.022413112164297,0.004074370148791872,0.0027865114962225632,0.00018513661539410958,0.0001105501713527656,0.011508835523334844,0.012072511966781368,0.0004637333260590851,0.0005775964766614924,0.014251606978879706,0.01984549197390942,0.0024086067548038325,0.0015529411764705883,0.00014227449492554303,0.00022256843979523704,0.008144909431605247,0.009765028989929814,0.0027267871700446967,0.0026912058338397432,0.001472056310383919,0.002282675201204876,0.0052296926144700705,0.005237168936106539,0.009153650563022158,0.011233492246150474,0.00032277731951368217,0.0003013085399449036,0.0042568718073461445,0.0028916929547844372,0.045589080459770115,0.03212471589609042,0.002268369744268316,0.005136512702991031,0.00427336696333901,0.004729304525257919
Balaenopteridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.104627480699095e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010911372377860825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015255821049219094
Balanidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012492192379762648,0.0,0.0,0.0005035159302022745,0.0,0.0,0.0004514842544866248,0.0,0.0001210800339024095,8.21962847279303e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000513083632632119,0.0004346279979453949,3.213057867172188e-05,3.8139552623047734e-05
