"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_1",0.00413425334767992,-0.18553955227631,0.0552168681571272,"ASV_1","Eukaryota","Arthropoda","Hexanauplia","Poecilostomatoida","Oncaeidae","g_","s_"
"2","ASV_2",-0.0435567792792263,-0.0482270223387487,0.0383236495775646,"ASV_2","Eukaryota","unassigned","unassigned","unassigned","unassigned","g_","s_"
"3","ASV_3",-0.0247311863352654,-0.0162666265689285,0.214290373823596,"ASV_3","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"4","ASV_4",-0.0571297001852403,-0.156332041251239,0.0226541404406764,"ASV_4","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","g_","s_"
"5","ASV_5",-0.059627656166671,0.0415027143356409,0.220631383287053,"ASV_5","Eukaryota","Picozoa","unknown","unknown","unknown","g_","s_"
"6","ASV_6",0.0461012420723808,-0.137421569277046,0.0781459416525842,"ASV_6","Eukaryota","unknown","Phaeophyceae","Sphacelariales","Sphacelariaceae","g_","s_"
"7","ASV_7",-0.0217795243777139,-0.0220584075952374,0.20045814343857,"ASV_7","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"8","ASV_8",-0.00662861370625004,-0.0336118213455353,0.190687957953408,"ASV_8","Eukaryota","Haptista","Haptophyta","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis globosa"
"9","ASV_9",-0.00462390986725192,-0.110252828533702,0.0278597792436921,"ASV_9","Eukaryota","Arthropoda","unassigned","unassigned","unassigned","g_","s_"
"10","ASV_10",6.92436449448365e-06,-0.00126153644089626,0.178807794438726,"ASV_10","Eukaryota","Haptista","Haptophyta","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis globosa"
"11","ASV_11",-0.024667287113307,-0.0228979878936259,0.0233701293053998,"ASV_11","Eukaryota","unassigned","unassigned","unassigned","unassigned","g_","s_"
"12","ASV_12",0.0577706802105343,-0.0835464315158412,0.135115358150891,"ASV_12","Eukaryota","Picozoa","unknown","unknown","unknown","g_","s_"
"13","ASV_13",-0.0411635021498389,-0.0583856089706879,0.156681903294866,"ASV_13","Eukaryota","Haptista","Haptophyta","Isochrysidales","Noelaerhabdaceae","Emiliania","Emiliania huxleyi"
"14","ASV_14",-0.0473168983051432,-0.0783453957834025,0.123868873983169,"ASV_14","Eukaryota","unknown","Phaeophyceae","Fucales","Sargassaceae","g_","s_"
"15","ASV_15",-0.0296412107216197,0.0405159343531687,0.162904241302901,"ASV_15","Eukaryota","Bacillariophyta","unassigned","unassigned","unassigned","g_","s_"
"16","ASV_16",-0.00471607396477305,-0.0799696030720982,0.0393348728047427,"ASV_16","Eukaryota","Arthropoda","Hexanauplia","Poecilostomatoida","Oncaeidae","g_","s_"
