"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_1",0.0282379244605033,0.0515430945344734,0.0796500224198943,"ASV_1","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","unassigned","unassigned"
"2","ASV_2",0.00224715940776098,-0.0125364778839091,0.0531409649359509,"ASV_2","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","unassigned"
"3","ASV_3",0.0407635742594761,0.0744710496866709,0.133106222366221,"ASV_3","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","unassigned"
"4","ASV_4",0.00284010925833132,0.0404534031288977,0.185105173726095,"ASV_4","Eukaryota","unknown","Dinophyceae","Thoracosphaerales","Thoracosphaeraceae","Ensiculifera","Ensiculifera imariensis"
"5","ASV_5",0.00442611802668815,-0.0447362808043048,0.171427454107813,"ASV_5","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"6","ASV_6",-0.0132301585478745,0.0857363262443457,0.131463020052764,"ASV_6","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Minidiscus","unassigned"
"7","ASV_7",-0.0300651275692137,-0.0220353665963759,0.155923468338762,"ASV_7","Eukaryota","unknown","Dinophyceae","unknown","unknown","unknown","Dinophyceae sp. CCMP1878"
"8","ASV_8",0.0694754101437334,0.0296672604732383,0.124563396628487,"ASV_8","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"9","ASV_9",0.104211192053343,-0.0782856299709669,0.0510769725582605,"ASV_9","Eukaryota","unknown","unknown","unknown","unknown","unknown","phototrophic eukaryote"
"10","ASV_10",-0.125819526500006,-0.0123152216520036,0.0684924962026266,"ASV_10","Eukaryota","unknown","unknown","unknown","unknown","unknown","Acantharian sp. 6201"
"11","ASV_11",0.0213286178936095,0.0583831165464969,0.154005458701644,"ASV_11","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","unassigned"
"12","ASV_12",0.0227748545755387,-0.02003047313855,0.0220764605258305,"ASV_12","Eukaryota","Chlorophyta","unassigned","unassigned","unassigned","unassigned","unassigned"
"13","ASV_13",0.0453552843542775,0.0724033442154855,0.0823409958158808,"ASV_13","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"14","ASV_14",0.0640021325517147,-0.0516517119364494,0.0302636199058269,"ASV_14","Eukaryota","unknown","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","Protoperidinium crassipes"
